dataset,model,version,accuracy,precision,recall,f1_score,threshold,pos_weight,loss_name
BATADAL,LSTM,baseline_0.5_threshold,0.47381242387332523,0.07631578947368421,0.2636363636363636,0.11836734693877551,0.5,17.87121212121212,bce
BATADAL,LSTM,tuned_threshold_weighted_loss,0.5347137637028014,0.0641025641025641,0.18181818181818182,0.0947867298578199,0.53,17.87121212121212,bce
BATADAL,GRU,baseline_0.5_threshold,0.5420219244823387,0.11337209302325581,0.35454545454545455,0.17180616740088106,0.5,17.87121212121212,focal
BATADAL,GRU,tuned_threshold_weighted_loss,0.679658952496955,0.1506849315068493,0.3,0.2006079027355623,0.55,17.87121212121212,focal
BATADAL,CNN,baseline_0.5_threshold,0.5907429963459196,0.12080536912751678,0.32727272727272727,0.17647058823529413,0.5,17.87121212121212,bce
BATADAL,CNN,tuned_threshold_weighted_loss,0.7381242387332522,0.152317880794702,0.20909090909090908,0.17624521072796934,0.59,17.87121212121212,bce
BATADAL,LSTM,baseline_0.5_threshold,0.559074299634592,0.09615384615384616,0.2727272727272727,0.14218009478672985,0.5,17.87121212121212,bce
BATADAL,LSTM,tuned_threshold_weighted_loss,0.47868453105968334,0.09438775510204081,0.33636363636363636,0.14741035856573706,0.39,17.87121212121212,bce
BATADAL,GRU,baseline_0.5_threshold,0.51278928136419,0.10810810810810811,0.36363636363636365,0.16666666666666666,0.5,17.87121212121212,focal
BATADAL,GRU,tuned_threshold_weighted_loss,0.51278928136419,0.10810810810810811,0.36363636363636365,0.16666666666666666,0.5,17.87121212121212,focal
BATADAL,CNN,baseline_0.5_threshold,0.535931790499391,0.11830985915492957,0.38181818181818183,0.18064516129032257,0.5,17.87121212121212,bce
BATADAL,CNN,tuned_threshold_weighted_loss,0.6857490864799025,0.12626262626262627,0.22727272727272727,0.16233766233766234,0.59,17.87121212121212,bce
BATADAL,LSTM,baseline_0.5_threshold,0.6613885505481121,0.10747663551401869,0.20909090909090908,0.1419753086419753,0.5,17.87121212121212,bce
BATADAL,LSTM,tuned_threshold_weighted_loss,0.6894031668696712,0.10810810810810811,0.18181818181818182,0.13559322033898305,0.58,17.87121212121212,bce
BATADAL,GRU,baseline_0.5_threshold,0.6297198538367844,0.12692307692307692,0.3,0.1783783783783784,0.5,17.87121212121212,focal
BATADAL,GRU,tuned_threshold_weighted_loss,0.7271619975639464,0.16071428571428573,0.24545454545454545,0.19424460431654678,0.55,17.87121212121212,focal
BATADAL,CNN,baseline_0.5_threshold,0.5602923264311814,0.10658307210031348,0.3090909090909091,0.1585081585081585,0.5,17.87121212121212,bce
BATADAL,CNN,tuned_threshold_weighted_loss,0.6406820950060901,0.10970464135021098,0.23636363636363636,0.14985590778097982,0.55,17.87121212121212,bce
BATADAL,LSTM,baseline_0.5_threshold,0.47381242387332523,0.1111111111111111,0.41818181818181815,0.17557251908396945,0.5,17.87121212121212,bce
BATADAL,LSTM,tuned_threshold_weighted_loss,0.6138855054811205,0.059574468085106386,0.12727272727272726,0.08115942028985507,0.61,17.87121212121212,bce
BATADAL,GRU,baseline_0.5_threshold,0.4762484774665043,0.12085308056872038,0.4636363636363636,0.19172932330827067,0.5,17.87121212121212,focal
BATADAL,GRU,tuned_threshold_weighted_loss,0.5310596833130329,0.1293800539083558,0.43636363636363634,0.1995841995841996,0.52,17.87121212121212,focal
BATADAL,CNN,baseline_0.5_threshold,0.5663824604141291,0.11801242236024845,0.34545454545454546,0.17592592592592593,0.5,17.87121212121212,bce
BATADAL,CNN,tuned_threshold_weighted_loss,0.6881851400730816,0.13861386138613863,0.2545454545454545,0.1794871794871795,0.57,17.87121212121212,bce
BATADAL,LSTM,baseline_0.5_threshold,0.5554202192448234,0.08196721311475409,0.22727272727272727,0.12048192771084337,0.5,17.87121212121212,bce
BATADAL,LSTM,tuned_threshold_weighted_loss,0.6540803897685749,0.065,0.11818181818181818,0.08387096774193549,0.6,17.87121212121212,bce
BATADAL,GRU,baseline_0.5_threshold,0.7880633373934226,0.23333333333333334,0.2545454545454545,0.24347826086956523,0.5,17.87121212121212,focal
BATADAL,GRU,tuned_threshold_weighted_loss,0.6090133982947625,0.12455516014234876,0.3181818181818182,0.17902813299232737,0.43,17.87121212121212,focal
BATADAL,CNN,baseline_0.5_threshold,0.5444579780755177,0.1,0.3,0.15,0.5,17.87121212121212,bce
BATADAL,CNN,tuned_threshold_weighted_loss,0.5200974421437271,0.09659090909090909,0.3090909090909091,0.1471861471861472,0.49,17.87121212121212,bce
