dataset,model,family,split,seed,training_time_seconds,inference_time_seconds,test_examples,epochs_completed,pos_weight,loss_name
SKAB,GRU,DEEP,fold_1,999,9.696304599987343,0.10734400001820177,4477,9,1.7774584274276328,bce
SKAB,CNN,DEEP,fold_1,999,4.8201578999869525,0.08323469999595545,4477,6,1.7774584274276328,bce
SKAB,LSTM,DEEP,fold_2,999,6.572757400019327,0.11196040001232177,4492,6,1.8137111898312148,bce
SKAB,GRU,DEEP,fold_2,999,7.258893499994883,0.10544509999454021,4492,7,1.8137111898312148,bce
SKAB,CNN,DEEP,fold_2,999,5.549861500010593,0.08166920000803657,4492,7,1.8137111898312148,bce
SKAB,LSTM,DEEP,fold_3,999,7.222692300012568,0.11444380000466481,4414,6,1.7985028072364317,bce
SKAB,GRU,DEEP,fold_3,999,6.39969089999795,0.09971119998954237,4414,6,1.7985028072364317,bce
SKAB,CNN,DEEP,fold_3,999,10.684595899976557,0.1252565000031609,4414,13,1.7985028072364317,bce
SKAB,LSTM,DEEP,fold_4,999,10.034693900001002,0.15456719999201596,4527,8,1.7808501857201815,bce
SKAB,GRU,DEEP,fold_4,999,7.561837600020226,0.13599430001340806,4527,7,1.7808501857201815,bce
SKAB,CNN,DEEP,fold_4,999,12.549031700007617,0.08677799999713898,4527,16,1.7808501857201815,bce
BATADAL,LSTM,DEEP,test,42,2.034136900008889,0.02083570000831969,821,8,17.87121212121212,bce
BATADAL,GRU,DEEP,test,42,3.524534700001823,0.02635950001422316,821,14,17.87121212121212,focal
BATADAL,CNN,DEEP,test,42,5.750983100006124,0.02190849999897182,821,37,17.87121212121212,bce
BATADAL,LSTM,DEEP,test,123,3.4432244999916293,0.024653400003444403,821,15,17.87121212121212,bce
BATADAL,GRU,DEEP,test,123,2.9660665999981575,0.029307000018889084,821,12,17.87121212121212,focal
BATADAL,CNN,DEEP,test,123,6.119969799998216,0.015862700005527586,821,39,17.87121212121212,bce
BATADAL,LSTM,DEEP,test,2026,4.2619271999865305,0.026566000015009195,821,18,17.87121212121212,bce
BATADAL,GRU,DEEP,test,2026,3.7238417000044137,0.018130699987523258,821,15,17.87121212121212,focal
BATADAL,CNN,DEEP,test,2026,5.134779800020624,0.013272999989567325,821,34,17.87121212121212,bce
BATADAL,LSTM,DEEP,test,7,2.1073722000001,0.02584930000011809,821,9,17.87121212121212,bce
BATADAL,GRU,DEEP,test,7,2.89824419998331,0.02171760000055656,821,12,17.87121212121212,focal
BATADAL,CNN,DEEP,test,7,7.175338500004727,0.013685699988855049,821,46,17.87121212121212,bce
BATADAL,LSTM,DEEP,test,999,2.0382418999797665,0.02271290001226589,821,9,17.87121212121212,bce
BATADAL,GRU,DEEP,test,999,3.174743999989005,0.022388499986846,821,13,17.87121212121212,focal
BATADAL,CNN,DEEP,test,999,2.307589000003645,0.01735999999800697,821,15,17.87121212121212,bce
