dataset,family,model,split,scenario,noise_level,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,f1_score_mean,f1_score_std,f1_score_min,f1_score_max,test_examples_mean,test_examples_std,test_examples_min,test_examples_max,unseen_examples_mean,unseen_examples_std,unseen_examples_min,unseen_examples_max
SKAB,AUTOMATA,AUTOMATA,fold_2,noise,0.1,0.6229537366548044,0.0020287818951941917,0.6209964412811388,0.6254448398576512,0.3570649350649351,0.024607493918668934,0.3181818181818182,0.38636363636363635,0.030917874396135265,0.010856137707364365,0.016908212560386472,0.04106280193236715,0.05660132936502151,0.018805444176877514,0.03211009174311927,0.07423580786026202,1124.0,0.0,1124,1124,0.6,1.3416407864998738,0.0,3.0
SKAB,AUTOMATA,AUTOMATA,fold_2,noise,0.2,0.6225978647686833,0.0023028788444029516,0.6201067615658363,0.6254448398576512,0.3589376250227314,0.01443820962826376,0.34615384615384615,0.3829787234042553,0.03188405797101449,0.009870925962175144,0.021739130434782608,0.043478260869565216,0.058278651902758515,0.016845379327462905,0.04090909090909091,0.07809110629067245,1124.0,0.0,1124,1124,0.8,1.3038404810405297,0.0,3.0
SKAB,AUTOMATA,AUTOMATA,fold_2,original,0.0,0.6211743772241993,0.0029774378168472893,0.6174377224199288,0.6245551601423488,0.33785757720540327,0.03253294784069763,0.30434782608695654,0.38461538461538464,0.030917874396135265,0.011759093183225204,0.016908212560386472,0.04830917874396135,0.05630529711356721,0.020047366278884943,0.032036613272311214,0.08583690987124463,1124.0,0.0,1124,1124,0.6,1.3416407864998738,0.0,3.0
SKAB,AUTOMATA,AUTOMATA,fold_3,noise,0.05,0.6049515385037147,0.004576264818754607,0.5981900452488688,0.6101083032490975,0.3043676900584795,0.04688177524483013,0.2631578947368421,0.375,0.03987894160373552,0.011328912785731218,0.024096385542168676,0.05060240963855422,0.0703054516212627,0.018899764417361513,0.04415011037527594,0.08860759493670886,1106.2,2.167948338867884,1104,1109,2.4,1.51657508881031,1.0,4.0
SKAB,AUTOMATA,AUTOMATA,fold_3,noise,0.1,0.6065747827650705,0.00607012886416759,0.5981900452488688,0.6128158844765343,0.32359744054097855,0.05592330198769052,0.26229508196721313,0.4067796610169492,0.042267827290021334,0.011503902231755311,0.02650602409638554,0.05741626794258373,0.07454667781247289,0.019314698467493355,0.04856512141280353,0.10062893081761007,1106.2,2.167948338867884,1104,1109,3.0,2.5495097567963922,1.0,7.0
SKAB,AUTOMATA,AUTOMATA,fold_3,noise,0.2,0.6015176831079873,0.0036439153810037235,0.5978260869565217,0.6072398190045248,0.2878218344430784,0.016264288596530778,0.2682926829268293,0.3064516129032258,0.04084971464806595,0.010369490320365547,0.02650602409638554,0.05060240963855422,0.07127126789651425,0.016512403690355268,0.04824561403508772,0.0865979381443299,1106.2,2.167948338867884,1104,1109,4.6,3.3615472627943226,1.0,10.0
SKAB,AUTOMATA,AUTOMATA,fold_3,original,0.0,0.604589054536907,0.005231912635141362,0.5990950226244344,0.6110108303249098,0.29509026829629387,0.046912481192033555,0.26666666666666666,0.37735849056603776,0.03699429296131897,0.009513142155551798,0.024096385542168676,0.04784688995215311,0.0655615176427998,0.016016611730169227,0.04424778761061947,0.08492569002123142,1106.2,2.167948338867884,1104,1109,2.4,1.51657508881031,1.0,4.0
SKAB,AUTOMATA,AUTOMATA,fold_4,noise,0.05,0.6171977367334831,0.022909633279233746,0.5869373345101501,0.6383731211317418,0.403854829900635,0.047071023458094045,0.36363636363636365,0.47,0.13778854052954645,0.07616904788217048,0.06965174129353234,0.2524752475247525,0.19477046186093322,0.07702041537263132,0.11691022964509394,0.30357142857142855,1131.6,1.3416407864998834,1130,1133,65.0,83.96427811873333,0.0,203.0
SKAB,AUTOMATA,AUTOMATA,fold_4,noise,0.1,0.6171980497151814,0.022637739944644745,0.587819947043248,0.6383731211317418,0.4051436930578413,0.04353204661980923,0.36363636363636365,0.47,0.13977612123643385,0.07547793370780281,0.07462686567164178,0.25742574257425743,0.19747708876777612,0.07468899480994337,0.12474012474012475,0.30814814814814817,1131.6,1.3416407864998834,1130,1133,67.4,84.20985690523408,0.0,205.0
SKAB,AUTOMATA,AUTOMATA,fold_4,noise,0.2,0.6159647362166835,0.026588084704291175,0.5772285966460724,0.6383731211317418,0.4101771952985909,0.04349408972624865,0.3641304347826087,0.47413793103448276,0.15118317950086924,0.0855556828256132,0.07444168734491315,0.2896039603960396,0.20839245231341863,0.07936881186171084,0.12578616352201258,0.3281907433380084,1131.6,1.3416407864998834,1130,1133,76.6,98.83976932389109,0.0,243.0
